checking_status,duration,credit_history,purpose,credit_amount,savings_status,employment,installment_commitment,personal_status,other_parties,residence_since,property_magnitude,age,other_payment_plans,housing,existing_credits,job,num_dependents,own_telephone,foreign_worker,class
<0,36,existing paid,car,3249,<100,4<=X<7,2.0,male single,none,4,no known property,39,bank,free,1,high qualif/self emp/mgmt,2,,,good
<0,6,no credits taken/all paid back duly,television,1957,<100,4<=X<7,1.0,female div/dep/mar,none,4,car,31,none,own,1,skilled,1,,,good
no checking account,9,no credits taken/all paid back duly,furniture/equipment,2406,<100,unemployed,2.0,male single,none,3,car,31,none,own,1,high qualif/self emp/mgmt,1,,,good
0<=X<20000,39,no credits taken/all paid back duly,furniture/equipment,11760,<100,4<=X<7,2.0,male single,none,3,no known property,32,none,rent,1,skilled,1,,,good
<0,12,existing paid,furniture/equipment,2578,<100,unemployed,3.0,female div/dep/mar,none,4,no known property,55,none,free,1,high qualif/self emp/mgmt,1,,,good
<0,36,no credits taken/all paid back duly,furniture/equipment,2348,<100,1<=X<4,3.0,male mar/wid,none,2,life insurance,46,none,own,2,skilled,1,,,good
0<=X<20000,12,existing paid,car,1223,<100,>=7,1.0,male div/sep,none,1,real estate,46,none,rent,2,skilled,1,,,bad
no checking account,24,no credits taken/all paid back duly,television,1516,>=10000,1<=X<4,4.0,female div/dep/mar,none,1,real estate,43,none,own,2,unskilled,1,,,good
no checking account,18,existing paid,television,1473,<100,<1,3.0,male mar/wid,none,4,real estate,39,none,own,1,skilled,1,,,good
0<=X<20000,18,no credits taken/all paid back duly,furniture/equipment,1887,no known savings account,1<=X<4,4.0,male mar/wid,none,4,real estate,28,bank,own,2,skilled,1,,,good
no checking account,24,no credits taken/all paid back duly,furniture/equipment,8648,<100,<1,2.0,male single,none,2,car,27,bank,own,2,skilled,1,,,bad
no checking account,14,no credits taken/all paid back duly,car,802,<100,1<=X<4,4.0,male single,none,2,car,27,none,own,2,unskilled,1,,,good
0<=X<20000,18,no credits taken/all paid back duly,car,2899,no known savings account,>=7,4.0,male single,none,4,car,43,none,own,1,skilled,2,,,good
0<=X<20000,24,existing paid,television,2039,<100,<1,1.0,male mar/wid,none,1,life insurance,22,none,own,1,skilled,1,,,bad
no checking account,24,no credits taken/all paid back duly,car,2197,no known savings account,4<=X<7,4.0,male single,none,4,car,43,none,own,2,skilled,2,,,good
<0,15,existing paid,television,1053,<100,<1,4.0,male mar/wid,none,2,real estate,27,none,own,1,skilled,1,,,good
no checking account,24,existing paid,television,3235,100<=X<1000,>=7,3.0,male div/sep,none,2,car,26,none,own,1,high qualif/self emp/mgmt,1,,,good
>=20000,12,no credits taken/all paid back duly,car,939,100<=X<1000,4<=X<7,4.0,male mar/wid,none,2,real estate,28,none,own,3,skilled,1,,,bad
0<=X<20000,24,existing paid,television,1967,<100,>=7,4.0,female div/dep/mar,none,4,car,20,none,own,1,skilled,1,,,good
no checking account,33,no credits taken/all paid back duly,car,7253,<100,4<=X<7,3.0,male single,none,2,car,35,none,own,2,high qualif/self emp/mgmt,1,,,good
no checking account,12,no credits taken/all paid back duly,furniture/equipment,2292,<100,unemployed,4.0,male single,none,2,car,42,stores,own,2,high qualif/self emp/mgmt,1,,,bad
no checking account,10,existing paid,car,1597,100<=X<1000,1<=X<4,3.0,male single,none,2,no known property,40,none,rent,1,unskilled,2,,,good
<0,24,existing paid,car,1381,no known savings account,1<=X<4,4.0,female div/dep/mar,none,2,life insurance,35,none,own,1,skilled,1,,,bad
no checking account,36,no credits taken/all paid back duly,car,5842,<100,>=7,2.0,male single,none,2,life insurance,35,none,own,2,skilled,2,,,good
<0,12,existing paid,car,2579,<100,<1,4.0,male single,none,1,real estate,33,none,own,1,unskilled,2,,,bad
<0,18,no credits taken/all paid back duly,furniture/equipment,8471,no known savings account,1<=X<4,1.0,female div/dep/mar,none,2,car,23,none,rent,2,skilled,1,,,good
no checking account,21,existing paid,car,2782,100<=X<1000,4<=X<7,1.0,female div/dep/mar,none,2,car,31,bank,own,1,high qualif/self emp/mgmt,1,,,good
0<=X<20000,18,existing paid,car,1042,no known savings account,1<=X<4,4.0,female div/dep/mar,none,2,life insurance,33,none,own,1,skilled,1,,,bad
no checking account,15,existing paid,car,3186,>=10000,4<=X<7,2.0,female div/dep/mar,none,3,car,20,none,rent,1,skilled,1,,,good
0<=X<20000,12,existing paid,car,2028,no known savings account,1<=X<4,4.0,male single,none,2,car,30,none,own,1,skilled,1,,,good
0<=X<20000,12,no credits taken/all paid back duly,car,958,<100,4<=X<7,2.0,male single,none,3,real estate,47,none,own,2,unskilled,2,,,good
no checking account,21,no credits taken/all paid back duly,furniture/equipment,1591,<100,4<=X<7,4.0,male single,none,3,real estate,34,none,own,2,high qualif/self emp/mgmt,1,,,good
0<=X<20000,12,existing paid,furniture/equipment,2762,no known savings account,>=7,1.0,female div/dep/mar,none,2,life insurance,25,bank,own,1,skilled,1,,,bad
0<=X<20000,18,existing paid,car,2779,<100,1<=X<4,1.0,male mar/wid,none,3,car,21,none,rent,1,skilled,1,,,good
no checking account,28,no credits taken/all paid back duly,television,2743,<100,>=7,4.0,male single,none,2,car,29,none,own,2,skilled,1,,,good
no checking account,18,no credits taken/all paid back duly,television,1149,>=10000,1<=X<4,4.0,male single,none,3,real estate,46,none,own,2,skilled,1,,,good
no checking account,9,existing paid,furniture/equipment,1313,<100,>=7,1.0,male single,none,4,car,20,none,own,1,skilled,1,,,good
<0,18,no credits taken/all paid back duly,furniture/equipment,1190,<100,unemployed,2.0,female div/dep/mar,none,4,no known property,55,none,free,3,unskilled,2,,,bad
no checking account,5,existing paid,furniture/equipment,3448,<100,4<=X<7,1.0,male single,none,4,real estate,74,none,own,1,unskilled,1,,,good
0<=X<20000,24,existing paid,furniture/equipment,11328,<100,1<=X<4,2.0,male single,co-applicant,3,car,29,bank,own,2,high qualif/self emp/mgmt,1,,,bad
<0,6,no credits taken/all paid back duly,furniture/equipment,1872,<100,unemployed,4.0,male single,none,4,no known property,36,none,free,3,high qualif/self emp/mgmt,1,,,good
no checking account,24,no credits taken/all paid back duly,furniture/equipment,2058,<100,1<=X<4,4.0,male div/sep,none,2,real estate,33,none,own,2,skilled,1,,,good
<0,9,existing paid,furniture/equipment,2136,<100,1<=X<4,3.0,male single,none,2,real estate,25,none,own,1,skilled,1,,,good
0<=X<20000,12,existing paid,television,1484,no known savings account,1<=X<4,2.0,male mar/wid,none,1,real estate,25,none,own,1,skilled,1,,,bad
no checking account,6,existing paid,furniture/equipment,660,100<=X<1000,4<=X<7,2.0,male mar/wid,none,4,real estate,23,none,rent,1,unskilled,1,,,good
no checking account,24,no credits taken/all paid back duly,car,1287,>=10000,>=7,4.0,female div/dep/mar,none,4,real estate,37,none,own,2,skilled,1,,,good
<0,42,no credits taken/all paid back duly,furniture/equipment,3394,<100,unemployed,4.0,male single,co-applicant,4,car,65,none,own,2,unskilled,1,,,good
>=20000,12,no credits taken/all paid back duly,furniture/equipment,609,<100,<1,4.0,female div/dep/mar,none,1,real estate,26,none,own,1,unskilled,1,,,bad
no checking account,12,existing paid,car,1884,<100,>=7,4.0,male single,none,4,car,39,none,own,1,high qualif/self emp/mgmt,1,,,good
<0,12,existing paid,furniture/equipment,1620,<100,1<=X<4,2.0,female div/dep/mar,co-applicant,3,life insurance,30,none,own,1,skilled,1,,,good
0<=X<20000,20,no credits taken/all paid back duly,furniture/equipment,2629,<100,1<=X<4,2.0,male single,none,3,car,29,bank,own,2,skilled,1,,,good
no checking account,12,existing paid,furniture/equipment,719,<100,>=7,4.0,male single,none,4,car,41,bank,own,1,unskilled,2,,,bad
0<=X<20000,48,no credits taken/all paid back duly,furniture/equipment,5096,<100,1<=X<4,2.0,female div/dep/mar,none,3,car,30,none,own,1,high qualif/self emp/mgmt,1,,,bad
no checking account,9,no credits taken/all paid back duly,furniture/equipment,1244,no known savings account,>=7,4.0,female div/dep/mar,none,4,life insurance,41,none,rent,2,unskilled,1,,,good
<0,36,existing paid,car,1842,<100,<1,4.0,female div/dep/mar,none,4,car,34,none,own,1,skilled,1,,,bad
0<=X<20000,7,existing paid,television,2576,<100,1<=X<4,2.0,male single,guarantor,2,real estate,35,none,own,1,skilled,1,,,good
>=20000,12,existing paid,furniture/equipment,1424,no known savings account,>=7,3.0,female div/dep/mar,none,4,real estate,55,none,own,1,high qualif/self emp/mgmt,1,,,good
0<=X<20000,15,no credits taken/all paid back duly,furniture/equipment,1512,>=10000,1<=X<4,3.0,male mar/wid,none,3,life insurance,61,stores,own,2,skilled,1,,,bad
no checking account,36,no credits taken/all paid back duly,car,11054,no known savings account,1<=X<4,4.0,male single,none,2,car,30,none,own,1,high qualif/self emp/mgmt,1,,,good
no checking account,6,existing paid,television,518,<100,1<=X<4,3.0,female div/dep/mar,none,1,real estate,29,none,own,1,skilled,1,,,good
no checking account,12,no credits taken/all paid back duly,furniture/equipment,2759,<100,>=7,2.0,male single,none,4,life insurance,34,none,own,2,skilled,1,,,good
no checking account,24,existing paid,car,2670,<100,>=7,4.0,male single,none,4,car,35,none,own,1,high qualif/self emp/mgmt,1,,,good
<0,24,existing paid,car,4817,<100,4<=X<7,2.0,male single,co-applicant,3,life insurance,31,none,own,1,skilled,1,,,bad
no checking account,24,existing paid,car,2679,<100,<1,4.0,female div/dep/mar,none,1,no known property,29,none,own,1,high qualif/self emp/mgmt,1,,,good
<0,11,no credits taken/all paid back duly,car,3905,<100,1<=X<4,2.0,male single,none,2,real estate,36,none,rent,2,skilled,2,,,good
<0,12,existing paid,car,3386,<100,>=7,3.0,male single,none,4,no known property,35,none,free,1,skilled,1,,,bad
<0,6,existing paid,furniture/equipment,343,<100,<1,4.0,female div/dep/mar,none,1,real estate,27,none,own,1,skilled,1,,,good
no checking account,18,existing paid,television,4594,<100,<1,3.0,male single,none,2,car,32,none,own,1,skilled,1,,,good
<0,36,existing paid,furniture/equipment,3620,<100,1<=X<4,1.0,male single,guarantor,2,life insurance,37,none,own,1,skilled,2,,,good
<0,15,existing paid,car,1721,<100,<1,2.0,male single,none,3,real estate,36,none,own,1,skilled,1,,,good
0<=X<20000,12,existing paid,furniture/equipment,3017,<100,<1,3.0,female div/dep/mar,none,1,real estate,34,none,rent,1,high qualif/self emp/mgmt,1,,,good
0<=X<20000,12,existing paid,furniture/equipment,754,no known savings account,>=7,4.0,male single,none,4,life insurance,38,none,own,2,skilled,1,,,good
no checking account,18,existing paid,furniture/equipment,1950,<100,4<=X<7,4.0,male single,none,1,car,34,stores,own,2,skilled,1,,,good
<0,24,existing paid,car,2924,<100,1<=X<4,3.0,male single,guarantor,4,no known property,63,bank,own,1,skilled,2,,,good
<0,24,no credits taken/all paid back duly,television,1659,<100,<1,4.0,female div/dep/mar,none,2,car,29,none,rent,1,unskilled,1,,,bad
no checking account,48,no credits taken/all paid back duly,television,7238,no known savings account,>=7,3.0,male single,none,3,car,32,bank,own,2,skilled,2,,,good
no checking account,33,no credits taken/all paid back duly,furniture/equipment,2764,<100,1<=X<4,2.0,female div/dep/mar,none,2,car,26,none,own,2,skilled,1,,,good
no checking account,24,no credits taken/all paid back duly,car,4679,<100,4<=X<7,3.0,male single,none,3,car,35,none,own,2,unskilled,1,,,good
0<=X<20000,24,existing paid,television,3092,<100,<1,3.0,male mar/wid,none,2,car,22,none,rent,1,skilled,1,,,bad
<0,6,existing paid,furniture/equipment,448,<100,<1,4.0,female div/dep/mar,none,4,life insurance,23,none,own,1,skilled,1,,,bad
<0,9,existing paid,car,654,<100,1<=X<4,4.0,male single,none,3,car,28,none,own,1,unskilled,1,,,bad
no checking account,6,existing paid,furniture/equipment,1238,no known savings account,unemployed,4.0,male single,none,4,life insurance,36,none,own,1,high qualif/self emp/mgmt,2,,,good
0<=X<20000,18,no credits taken/all paid back duly,television,1245,<100,1<=X<4,4.0,male mar/wid,none,2,car,33,none,own,1,skilled,1,,,bad
<0,18,no credits taken/all paid back duly,furniture/equipment,3114,<100,<1,1.0,female div/dep/mar,none,4,life insurance,26,none,rent,1,skilled,1,,,bad
no checking account,39,existing paid,car,2569,100<=X<1000,1<=X<4,4.0,male single,none,4,car,24,none,own,1,skilled,1,,,good
>=20000,24,existing paid,television,5152,<100,4<=X<7,4.0,male single,none,2,car,25,bank,own,1,skilled,1,,,good
0<=X<20000,12,existing paid,furniture/equipment,1037,<100,4<=X<7,3.0,male single,none,4,real estate,39,none,own,1,unskilled,1,,,good
<0,15,no credits taken/all paid back duly,furniture/equipment,1478,<100,>=7,4.0,male single,none,4,car,44,none,own,2,skilled,2,,,good
0<=X<20000,12,no credits taken/all paid back duly,television,3573,<100,1<=X<4,1.0,female div/dep/mar,none,1,real estate,23,none,own,1,unskilled,1,,,good
0<=X<20000,24,existing paid,car,1201,<100,<1,4.0,male single,none,1,life insurance,26,none,own,1,skilled,1,,,good
<0,30,existing paid,furniture/equipment,3622,>=10000,>=7,4.0,female div/dep/mar,none,4,life insurance,57,none,rent,2,skilled,1,,,good
no checking account,15,no credits taken/all paid back duly,furniture/equipment,960,>=10000,4<=X<7,3.0,female div/dep/mar,none,2,life insurance,30,none,own,2,skilled,1,,,good
no checking account,12,no credits taken/all paid back duly,car,1163,100<=X<1000,1<=X<4,4.0,male single,none,4,real estate,44,none,own,1,skilled,1,,,good
0<=X<20000,6,no credits taken/all paid back duly,car,1209,<100,unemployed,4.0,male single,none,4,life insurance,47,none,own,1,high qualif/self emp/mgmt,1,,,bad
no checking account,12,existing paid,television,3077,<100,1<=X<4,2.0,male single,none,4,car,52,none,own,1,skilled,1,,,good
no checking account,24,existing paid,car,3757,<100,>=7,4.0,female div/dep/mar,co-applicant,4,no known property,62,none,free,1,skilled,1,,,good
no checking account,10,existing paid,car,1418,<100,1<=X<4,3.0,male single,none,2,real estate,35,none,rent,1,unskilled,1,,,good
no checking account,6,existing paid,car,3518,<100,1<=X<4,2.0,male single,guarantor,3,life insurance,26,none,rent,1,skilled,1,,,good
no checking account,12,no credits taken/all paid back duly,television,1934,<100,>=7,2.0,male single,none,2,no known property,26,none,own,2,skilled,1,,,good
0<=X<20000,27,no credits taken/all paid back duly,furniture/equipment,8318,<100,>=7,2.0,female div/dep/mar,none,4,no known property,42,none,free,2,high qualif/self emp/mgmt,1,,,bad
no checking account,6,no credits taken/all paid back duly,television,1237,<100,1<=X<4,1.0,female div/dep/mar,none,1,life insurance,27,none,own,2,skilled,1,,,good
0<=X<20000,6,existing paid,television,368,no known savings account,>=7,4.0,male single,none,4,life insurance,38,none,own,1,skilled,1,,,good
<0,12,no credits taken/all paid back duly,car,2122,<100,1<=X<4,3.0,male single,none,2,real estate,39,none,rent,2,unskilled,2,,,good
<0,24,existing paid,furniture/equipment,2996,no known savings account,1<=X<4,2.0,male mar/wid,none,4,car,20,none,own,1,skilled,1,,,bad
0<=X<20000,36,existing paid,furniture/equipment,9034,<100,<1,4.0,male single,co-applicant,1,no known property,29,none,rent,1,high qualif/self emp/mgmt,1,,,bad
no checking account,24,no credits taken/all paid back duly,furniture/equipment,1585,<100,4<=X<7,4.0,male single,none,3,life insurance,40,none,own,2,skilled,1,,,good
0<=X<20000,18,existing paid,television,1301,<100,>=7,4.0,male mar/wid,guarantor,2,real estate,32,none,own,1,unskilled,1,,,good
>=20000,6,no credits taken/all paid back duly,car,1323,<100,>=7,2.0,male div/sep,none,4,car,28,none,own,2,skilled,2,,,good
<0,24,existing paid,car,3123,<100,<1,4.0,female div/dep/mar,none,1,life insurance,27,none,own,1,skilled,1,,,bad
<0,36,existing paid,car,5493,<100,>=7,2.0,male single,none,4,no known property,42,none,free,1,skilled,2,,,good
>=20000,9,existing paid,television,1126,<100,>=7,2.0,male div/sep,none,4,real estate,49,none,own,1,skilled,1,,,good
0<=X<20000,24,no credits taken/all paid back duly,television,1216,<100,<1,4.0,male single,none,4,no known property,38,bank,own,2,skilled,2,,,bad
<0,24,existing paid,car,1207,<100,<1,4.0,female div/dep/mar,none,4,life insurance,24,none,rent,1,skilled,1,,,bad
no checking account,10,existing paid,car,1309,no known savings account,1<=X<4,4.0,male single,guarantor,4,life insurance,27,none,own,1,unskilled,1,,,bad
>=20000,15,no credits taken/all paid back duly,car,2360,100<=X<1000,1<=X<4,2.0,male single,none,2,car,36,none,own,1,skilled,1,,,good
0<=X<20000,15,no credits taken/all paid back duly,car,6850,<100,unemployed,1.0,male single,none,2,life insurance,34,none,own,1,high qualif/self emp/mgmt,2,,,bad
no checking account,24,existing paid,television,1413,<100,1<=X<4,4.0,male mar/wid,none,2,life insurance,28,none,own,1,skilled,1,,,good
no checking account,39,existing paid,car,8588,<100,>=7,4.0,male single,none,2,car,45,none,own,1,high qualif/self emp/mgmt,1,,,good
<0,12,existing paid,car,759,<100,4<=X<7,4.0,male single,none,2,real estate,26,none,own,1,skilled,1,,,bad
no checking account,36,existing paid,car,4686,<100,1<=X<4,2.0,male single,none,2,no known property,32,none,free,1,high qualif/self emp/mgmt,1,,,good
>=20000,15,existing paid,furniture/equipment,2687,<100,4<=X<7,2.0,male single,none,4,life insurance,26,none,rent,1,skilled,1,,,good
0<=X<20000,12,no credits taken/all paid back duly,television,585,<100,1<=X<4,4.0,male mar/wid,co-applicant,4,real estate,20,none,rent,2,skilled,1,,,good
no checking account,24,existing paid,car,2255,no known savings account,<1,4.0,male single,none,1,life insurance,54,none,own,1,skilled,1,,,good
<0,6,no credits taken/all paid back duly,car,609,<100,4<=X<7,4.0,female div/dep/mar,none,3,life insurance,37,none,own,2,skilled,1,,,good
<0,6,no credits taken/all paid back duly,car,1361,<100,<1,2.0,male single,none,4,real estate,40,none,own,1,unskilled,2,,,good
no checking account,36,no credits taken/all paid back duly,furniture/equipment,7127,<100,<1,2.0,female div/dep/mar,none,4,life insurance,23,none,rent,2,skilled,1,,,bad
<0,6,existing paid,car,1203,<100,>=7,3.0,male single,none,2,life insurance,43,none,own,1,skilled,1,,,good
no checking account,6,no credits taken/all paid back duly,television,700,no known savings account,>=7,4.0,male single,none,4,no known property,36,none,free,2,skilled,1,,,good
no checking account,24,no credits taken/all paid back duly,furniture/equipment,5507,<100,>=7,3.0,male single,none,4,no known property,44,none,free,2,skilled,1,,,good
<0,18,existing paid,television,3190,<100,1<=X<4,2.0,female div/dep/mar,none,2,real estate,24,none,own,1,skilled,1,,,bad
<0,48,no credits taken/all paid back duly,furniture/equipment,7119,<100,1<=X<4,3.0,male single,none,4,no known property,53,none,free,2,skilled,2,,,bad
no checking account,24,existing paid,car,3488,<100,4<=X<7,3.0,female div/dep/mar,none,4,car,23,none,own,1,skilled,1,,,good
0<=X<20000,18,existing paid,television,1113,<100,1<=X<4,4.0,female div/dep/mar,guarantor,4,real estate,26,none,own,1,unskilled,2,,,good
0<=X<20000,26,existing paid,car,7966,<100,<1,2.0,male single,none,3,car,30,none,own,2,skilled,1,,,good
no checking account,15,no credits taken/all paid back duly,furniture/equipment,1532,<100,1<=X<4,4.0,female div/dep/mar,none,3,car,31,none,own,1,skilled,1,,,good
no checking account,4,no credits taken/all paid back duly,television,1503,<100,4<=X<7,2.0,male single,none,1,real estate,42,none,own,2,unskilled,2,,,good
<0,36,existing paid,television,2302,<100,1<=X<4,4.0,male div/sep,none,4,car,31,none,rent,1,skilled,1,,,bad
<0,6,existing paid,car,662,<100,<1,3.0,male single,none,4,real estate,41,none,own,1,unskilled,2,,,good
0<=X<20000,36,existing paid,furniture/equipment,2273,<100,4<=X<7,3.0,male single,none,1,car,32,none,own,2,skilled,2,,,good
0<=X<20000,15,existing paid,car,2631,<100,1<=X<4,2.0,female div/dep/mar,none,4,car,28,none,rent,2,skilled,1,,,bad
no checking account,12,no credits taken/all paid back duly,car,1503,<100,1<=X<4,4.0,male mar/wid,none,4,real estate,41,none,rent,1,skilled,1,,,good
no checking account,24,existing paid,television,1311,<100,4<=X<7,4.0,male mar/wid,none,3,life insurance,26,none,own,1,skilled,1,,,good
no checking account,24,existing paid,television,3105,no known savings account,<1,4.0,male single,none,2,car,25,none,own,2,skilled,1,,,good
>=20000,21,no credits taken/all paid back duly,furniture/equipment,2319,<100,<1,2.0,male div/sep,none,1,car,33,none,rent,1,skilled,1,,,bad
<0,6,existing paid,car,1374,no known savings account,unemployed,4.0,female div/dep/mar,none,3,life insurance,75,none,own,1,high qualif/self emp/mgmt,1,,,good
0<=X<20000,18,no credits taken/all paid back duly,furniture/equipment,3612,<100,>=7,3.0,female div/dep/mar,none,4,life insurance,37,none,own,1,skilled,1,,,good
<0,48,existing paid,car,7763,<100,>=7,4.0,male single,none,4,no known property,42,bank,free,1,high qualif/self emp/mgmt,1,,,bad
>=20000,18,existing paid,furniture/equipment,3049,<100,<1,1.0,female div/dep/mar,none,1,life insurance,45,stores,own,1,unskilled,1,,,good
0<=X<20000,12,existing paid,television,1534,<100,<1,1.0,male mar/wid,none,1,real estate,23,none,rent,1,skilled,1,,,bad
no checking account,24,no credits taken/all paid back duly,car,2032,<100,>=7,4.0,male single,none,4,no known property,60,none,free,2,skilled,1,,,good
<0,30,existing paid,furniture/equipment,6350,no known savings account,>=7,4.0,male single,none,4,life insurance,31,none,own,1,skilled,1,,,bad
>=20000,18,existing paid,furniture/equipment,2864,<100,1<=X<4,2.0,male single,none,1,real estate,34,none,own,1,unskilled,2,,,bad
no checking account,12,no credits taken/all paid back duly,car,1255,<100,>=7,4.0,male single,none,4,real estate,61,none,own,2,unskilled,1,,,good
<0,24,no credits taken/all paid back duly,car,1333,<100,unemployed,4.0,male single,none,2,real estate,43,none,free,2,skilled,2,,,bad
no checking account,24,no credits taken/all paid back duly,car,2022,<100,1<=X<4,4.0,female div/dep/mar,none,4,car,37,none,own,1,skilled,1,,,good
no checking account,24,existing paid,television,1552,<100,4<=X<7,3.0,male single,none,1,car,32,bank,own,1,skilled,2,,,good
<0,12,no credits taken/all paid back duly,television,626,<100,1<=X<4,4.0,female div/dep/mar,none,4,real estate,24,bank,own,1,unskilled,1,,,bad
no checking account,48,no credits taken/all paid back duly,car,8858,no known savings account,4<=X<7,2.0,male single,none,1,no known property,35,none,free,2,skilled,1,,,good
no checking account,12,no credits taken/all paid back duly,furniture/equipment,996,no known savings account,4<=X<7,4.0,female div/dep/mar,none,4,real estate,23,none,own,2,skilled,1,,,good
no checking account,6,no credits taken/all paid back duly,television,1750,100<=X<1000,>=7,2.0,male single,none,4,life insurance,45,bank,own,1,unskilled,2,,,good
<0,48,existing paid,television,6999,<100,4<=X<7,1.0,male mar/wid,guarantor,1,real estate,34,none,own,2,skilled,1,,,bad
0<=X<20000,12,no credits taken/all paid back duly,car,1995,<100,<1,4.0,male single,none,1,car,27,none,own,1,skilled,1,,,good
0<=X<20000,9,existing paid,furniture/equipment,1199,<100,4<=X<7,4.0,female div/dep/mar,none,4,life insurance,67,none,own,2,high qualif/self emp/mgmt,1,,,good
0<=X<20000,12,existing paid,television,1331,<100,<1,2.0,male single,none,1,car,22,stores,own,1,skilled,1,,,bad
0<=X<20000,18,no credits taken/all paid back duly,car,2278,<100,<1,3.0,female div/dep/mar,none,3,car,28,none,own,2,skilled,1,,,bad
no checking account,21,no credits taken/all paid back duly,car,5003,no known savings account,1<=X<4,1.0,female div/dep/mar,none,4,life insurance,29,bank,own,2,skilled,1,,,bad
<0,24,no credits taken/all paid back duly,furniture/equipment,3552,<100,4<=X<7,3.0,male single,none,4,car,27,bank,own,1,skilled,1,,,bad
0<=X<20000,18,no credits taken/all paid back duly,furniture/equipment,1928,<100,<1,2.0,male single,none,2,real estate,31,none,own,2,unskilled,1,,,bad
<0,24,existing paid,car,2964,no known savings account,>=7,4.0,male single,none,4,no known property,49,bank,free,1,skilled,2,,,good
<0,24,no credits taken/all paid back duly,television,1546,<100,4<=X<7,4.0,male single,guarantor,4,car,24,bank,rent,1,unskilled,1,,,bad
>=20000,6,no credits taken/all paid back duly,television,683,<100,<1,2.0,female div/dep/mar,none,1,life insurance,29,bank,own,1,skilled,1,,,good
0<=X<20000,36,existing paid,car,12389,no known savings account,1<=X<4,1.0,male single,none,4,no known property,37,none,free,1,skilled,1,,,bad
0<=X<20000,24,no credits taken/all paid back duly,furniture/equipment,4712,no known savings account,1<=X<4,4.0,male single,none,2,life insurance,37,bank,own,2,high qualif/self emp/mgmt,1,,,good
0<=X<20000,24,no credits taken/all paid back duly,television,1553,<100,4<=X<7,3.0,female div/dep/mar,none,2,life insurance,23,none,rent,2,skilled,1,,,good
<0,12,existing paid,car,1372,<100,4<=X<7,2.0,male div/sep,none,3,car,36,none,own,1,skilled,1,,,bad
no checking account,24,no credits taken/all paid back duly,television,2578,>=10000,>=7,2.0,male single,none,2,car,34,none,own,1,skilled,1,,,good
0<=X<20000,48,existing paid,television,3979,no known savings account,4<=X<7,4.0,male single,none,1,car,41,none,own,2,skilled,2,,,good
<0,48,existing paid,television,6758,<100,1<=X<4,3.0,female div/dep/mar,none,2,car,31,none,own,1,skilled,1,,,bad
<0,24,existing paid,furniture/equipment,3234,<100,<1,4.0,female div/dep/mar,none,4,real estate,23,none,rent,1,unskilled,1,,,bad
no checking account,30,no credits taken/all paid back duly,television,5954,<100,4<=X<7,3.0,male single,co-applicant,2,car,38,none,own,1,skilled,1,,,good
no checking account,24,existing paid,car,5433,no known savings account,unemployed,2.0,female div/dep/mar,none,4,life insurance,26,none,rent,1,high qualif/self emp/mgmt,1,,,good
<0,15,existing paid,furniture/equipment,806,<100,1<=X<4,4.0,female div/dep/mar,none,4,life insurance,22,none,own,1,unskilled,1,,,good
0<=X<20000,9,existing paid,television,1082,<100,>=7,4.0,male single,none,4,car,27,none,own,2,unskilled,1,,,good
no checking account,15,no credits taken/all paid back duly,furniture/equipment,2788,<100,4<=X<7,2.0,female div/dep/mar,co-applicant,3,car,24,bank,own,2,skilled,1,,,good
0<=X<20000,12,existing paid,television,2930,<100,4<=X<7,2.0,female div/dep/mar,none,1,real estate,27,none,own,1,skilled,1,,,good
no checking account,24,no credits taken/all paid back duly,furniture/equipment,1927,no known savings account,1<=X<4,3.0,female div/dep/mar,none,2,car,33,none,own,2,skilled,1,,,good
0<=X<20000,36,no credits taken/all paid back duly,car,2820,<100,<1,4.0,male div/sep,none,4,car,27,none,own,2,skilled,1,,,bad
no checking account,24,existing paid,furniture/equipment,937,<100,<1,4.0,male mar/wid,none,3,car,27,none,own,2,unskilled,1,,,good
0<=X<20000,18,no credits taken/all paid back duly,car,1056,<100,>=7,3.0,male single,guarantor,3,real estate,30,bank,own,2,skilled,1,,,bad
0<=X<20000,12,no credits taken/all paid back duly,car,3124,<100,<1,1.0,male single,none,3,real estate,49,bank,own,2,unskilled,2,,,good
no checking account,9,existing paid,furniture/equipment,1388,<100,1<=X<4,4.0,female div/dep/mar,none,2,real estate,26,none,rent,1,skilled,1,,,good
0<=X<20000,36,existing paid,furniture/equipment,2384,<100,<1,4.0,male single,none,1,no known property,33,none,rent,1,unskilled,1,,,bad
no checking account,12,existing paid,car,2133,no known savings account,>=7,4.0,female div/dep/mar,none,4,no known property,52,none,free,1,high qualif/self emp/mgmt,1,,,good
<0,18,existing paid,furniture/equipment,2039,<100,1<=X<4,1.0,female div/dep/mar,none,4,real estate,20,bank,rent,1,skilled,1,,,bad
<0,9,no credits taken/all paid back duly,car,2799,<100,1<=X<4,2.0,male single,none,2,real estate,36,none,rent,2,skilled,2,,,good
<0,12,existing paid,furniture/equipment,1289,<100,1<=X<4,4.0,male single,guarantor,1,life insurance,21,none,own,1,unskilled,1,,,good
<0,18,existing paid,furniture/equipment,1217,<100,1<=X<4,4.0,male mar/wid,none,3,real estate,47,none,own,1,unskilled,1,,,bad
<0,12,no credits taken/all paid back duly,furniture/equipment,2246,<100,>=7,3.0,male single,none,3,life insurance,60,none,own,2,skilled,1,,,bad
